1598240213,-2402,1710,-380,-1413,-362,223
1598240213,-1880,1688,-420,-1469,-597,-23
1598240213,-1558,1568,-606,-1535,-872,-195
1598240213,-1154,1732,-654,-1293,-976,-335
1598240213,-452,2084,-754,-719,-940,-214
1598240213,-268,2184,-530,-256,-1110,54
1598240213,-296,2030,-324,7,-1581,257
1598240213,-552,1546,148,176,-1992,396
1598240213,-1016,1272,236,203,-2167,583
1598240213,-1688,1406,496,154,-2164,772
1598240213,-2178,1694,124,127,-2089,922
1598240213,-2446,1966,156,14,-2099,942
1598240213,-2582,1738,-342,-69,-2154,951
1598240213,-2680,1486,-500,-145,-1964,1076
1598240213,-2632,1478,-670,-254,-1546,1141
1598240213,-3174,1490,-1156,-283,-1255,1274
1598240213,-3766,1738,-1312,-237,-1105,1283
1598240213,-4066,2182,-1062,-3,-962,1182
1598240213,-4252,2700,-744,198,-606,1092
1598240213,-4148,2974,-856,312,-37,999
1598240213,-3446,2648,-1022,327,319,792
1598240213,-2134,2262,-834,128,490,501
1598240213,-1378,2312,-724,245,677,326
1598240213,-1234,2546,-298,598,748,448
1598240213,-1824,2216,20,995,680,642
1598240213,-2820,1998,208,971,645,845
1598240213,-3626,2110,480,544,709,1009
1598240213,-3486,3230,-226,-12,842,997
1598240213,-3706,3348,-772,169,350,596
1598240213,-3664,3576,-1038,994,-232,228
1598240213,-3974,4220,-974,932,186,87
1598240213,-3934,4318,-984,742,641,-297
1598240213,-3724,4428,-1088,1096,891,-678
1598240213,-3874,5152,-734,1308,1411,-971
1598240213,-3934,6480,-34,1258,2160,-1249
1598240213,-3060,7778,-74,1300,2748,-1358
1598240213,-1836,7996,-294,1317,2694,-1569
1598240213,-1476,7808,-30,1428,2128,-1783
1598240213,-2052,7418,-34,1491,1843,-1594
1598240213,-2402,7680,-798,1341,1786,-1384
1598240213,-2778,8288,-1878,1468,1236,-1326
1598240213,-3202,7504,-1966,1771,274,-1141
1598240213,-3224,6026,-1540,2261,-242,-1236
1598240213,-3120,4622,-1196,2800,-549,-1402
1598240213,-3230,3778,-1122,2828,-847,-1455
1598240213,-3484,3372,-1040,2411,-948,-1622
